"Wykaz refundowanych leków, srodków spozywczych specjalnego przeznaczenia zywieniowego oraz wyrobów medycznych.",,,,,,,,,,,,,
1. Leki refundowane dostepne w aptece na recepte w ca_ym zakresie zarejestrowanych wskazan i przeznaczen lub we wskazaniu okreslonym stanem klinicznym,,,,,,,,,,,,,
lp,Substancja czynna,"Nazwa, posta_ i dawka leku, _rodka spo_ywczego specjalnego przeznaczenia _ywieniowego albo wyrobu medycznego",Zawarto__ opakowania,Kod EAN lub inny kod odpowiadaj_cy kodowi EAN,Termin wej_cia w _ycie decyzji,Okres obowi_zywania decyzji,Grupa limitowa,Urz_dowa cena zbytu,Cena detaliczna,Wysoko__ limitu finansowania,Zakres wskaza_ obj_tych refundacj_,Poziom odp_atno_ci,Wysoko__ dop_aty _wiadczeniobiorcy
48,Acidum valproicum,"Convulex , kaps. mi_kkie, 500 mg",100 kaps. (10 blist.po 10 szt.),5909990023813,2012-01-01,2 lata,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",35.87,46.51,46.51,Padaczka,rycza_t,3.56
49,Acidum valproicum,"Convulex 150, kaps. mi_kkie, 150 mg",100 kaps.,5909990244317,2012-01-01,2 lata,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",14.52,19.29,14.21,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,5.08
50,Acidum valproicum,"Convulex 150, kaps. mi_kkie, 150 mg",100 kaps.,5909990244317,2012-01-01,2 lata,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",14.52,19.29,14.21,Padaczka,rycza_t,8.28
51,Acidum valproicum,"Convulex 300, kaps. mi_kkie, 300 mg",100 kaps. ,5909990244416,2012-01-01,2 lata,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",21.06,28.42,28.42,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,0
52,Acidum valproicum,"Convulex 300, kaps. mi_kkie, 300 mg",100 kaps. ,5909990244416,2012-01-01,2 lata,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",21.06,28.42,28.42,Padaczka,rycza_t,3.2
53,Acidum valproicum + Natrii valproas,"Depakine Chrono 300, tabl. powl. o przed_u_onym uwalnianiu, 200 + 87 mg",30 tabl. (blistry),5909990694327,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",12.96,17.66,14.63,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,3.03
54,Acidum valproicum + Natrii valproas,"Depakine Chrono 300, tabl. powl. o przed_u_onym uwalnianiu, 200 + 87 mg",30 tabl. (blistry),5909990694327,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",12.96,17.66,14.63,Padaczka,rycza_t,6.23
55,Acidum valproicum + Natrii valproas,"Depakine Chrono 500, tabl. powl. o przed_u_onym uwalnianiu, 333 + 145 mg",30 tabl. (3 blist.po 10 szt.),5909990694426,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",17.82,24.39,24.39,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,0
56,Acidum valproicum + Natrii valproas,"Depakine Chrono 500, tabl. powl. o przed_u_onym uwalnianiu, 333 + 145 mg",30 tabl. (3 blist.po 10 szt.),5909990694426,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",17.82,24.39,24.39,Padaczka,rycza_t,3.2
57,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 100, granulat o przed_u_onym uwalnianiu, 66,66 + 29,03 mg",30 sasz.po 303 mg,5909990425693,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",5.02,6.9,4.88,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,2.02
58,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 100, granulat o przed_u_onym uwalnianiu, 66,66 + 29,03 mg",30 sasz.po 303 mg,5909990425693,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",5.02,6.9,4.88,Padaczka,rycza_t,5.22
59,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 1000, granulat o przed_u_onym uwalnianiu, 666,60 + 290,27 mg",30 sasz.po 3030 mg,5909990425754,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",42.23,53.41,48.78,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,4.63
60,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 1000, granulat o przed_u_onym uwalnianiu, 666,60 + 290,27 mg",30 sasz.po 3030 mg,5909990425754,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",42.23,53.41,48.78,Padaczka,rycza_t,7.83
61,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 250 , granulat o przed_u_onym uwalnianiu, 166,76 + 72,61 mg",30 sasz.po 758 mg,5909990425709,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",12.56,16.8,12.2,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,4.6
62,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 250 , granulat o przed_u_onym uwalnianiu, 166,76 + 72,61 mg",30 sasz.po 758 mg,5909990425709,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",12.56,16.8,12.2,Padaczka,rycza_t,7.8
63,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 500, granulat o przed_u_onym uwalnianiu, 333,30 + 145,14 mg",30 sasz.po 1515 mg,5909990425730,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",21.11,27.91,24.39,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,3.52
64,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 500, granulat o przed_u_onym uwalnianiu, 333,30 + 145,14 mg",30 sasz.po 1515 mg,5909990425730,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",21.11,27.91,24.39,Padaczka,rycza_t,6.72
65,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 750, granulat o przed_u_onym uwalnianiu, 500,06 + 217,75 mg",30 sasz.po 2273 mg,5909990425747,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",31.67,40.67,36.59,Choroby psychiczne lub upo_ledzenia umys_owe,bezp_atny,4.08
66,Acidum valproicum + Natrii valproas,"Depakine Chronosphere 750, granulat o przed_u_onym uwalnianiu, 500,06 + 217,75 mg",30 sasz.po 2273 mg,5909990425747,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",31.67,40.67,36.59,Padaczka,rycza_t,7.28
67,Acidum valproicum + Natrii valproas,"ValproLEK 300, tabl. powl. o przed_u_onym uwalnianiu, 0,2+0,087 g",30 tabl. (3 blist.po 10 szt.),5909990619658,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",9.72,14.19,14.19,Padaczka,rycza_t,3.2
68,Acidum valproicum + Natrii valproas,"ValproLEK 500, tabl. powl. o przed_u_onym uwalnianiu, 0,333 + 0,145 g",30 tabl. (3 blist.po 10 szt.),5909990619672,2012-01-01,2 lata,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przed_u_onym uwalnianiu",16.63,23.11,23.11,Padaczka,rycza_t,3.2
69,Acitretinum,"Neotigason, kaps. , 25 mg",100 kaps. ,5909990696925,2012-01-01,2 lata,"53.0, Leki przeciw_uszczycowe do stosowania ogólnego - retynoidy - acytretyna",523.8,586.98,586.98,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,7.62
70,Acitretinum,"Neotigason, kaps. , 10 mg",100 kaps. ,5909990697021,2012-01-01,2 lata,"53.0, Leki przeciw_uszczycowe do stosowania ogólnego - retynoidy - acytretyna",209.52,242.29,242.29,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
71,Adrenalinum,"Adrenalina WZF 0,1%, roztwór do wstrzykiwa_, 1 mg/ml",10 amp.a 1ml,5909990182510,2012-01-01,2 lata,"32.0, Leki pobudzajace czynno__ serca - leki adrenergiczne i dopaminergiczne - epinefryna - do podawania pozajelitowego",12.96,18.14,18.14,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
72,Alergeny kurzu domowego,"Novo-Helisen Depot, zawiesina do wstrzykiwa_ podskórnych, - TU","3 fiol.a 4,5ml (st__.1-3)",5909990001118,2012-01-01,2 lata,"214.1, Alergeny kurzu domowego - produkty do leczenia podstawowego",216,246.77,158.56,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,91.41
73,Alergeny kurzu domowego,"Novo-Helisen Depot, zawiesina do wstrzykiwa_ podskórnych, - TU","4 fiol.a 4,5ml (st__.0-3)",5909990001125,2012-01-01,2 lata,"214.1, Alergeny kurzu domowego - produkty do leczenia podstawowego",216,246.77,158.56,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,91.41
74,Alergeny kurzu domowego,"Novo-Helisen Depot, zawiesina do wstrzykiwa_ podskórnych, - TU","1 but.a 9,5ml",5909990001132,2012-01-01,2 lata,"214.2, Alergeny kurzu domowego - produkty do leczenia podtrzymujacego",217.08,247.92,158.56,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,92.56
75,Alergeny kurzu domowego,"PHOSTAL, zawiesina do wstrzykiwa_, st__enie: 0,01 IR/ml; 0,1 IR/ml; 1 IR/ml; 10 IR/ml lub st__enie 0,01 IC/ml; 0,1 IC/ml; 1 IC/ml; 10 IC/ml IR/ml lub IC/ml",4 fiol.a 5ml,5909990820313,2012-01-01,2 lata,"214.1, Alergeny kurzu domowego - produkty do leczenia podstawowego",133.56,158.56,158.56,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
76,Alergeny kurzu domowego,"PHOSTAL, zawiesina do wstrzykiwa_, st__enie: 10 IR/ml lub st__enie: 10 IC/ml IR/ml lub IC/ml",1 fiol.a 5ml,5909990820320,2012-01-01,2 lata,"214.2, Alergeny kurzu domowego - produkty do leczenia podtrzymujacego",133.56,158.56,158.56,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
